Field,Value
Completion/Debian/Command/_svn-buildpackage,96.23
Completion/Debian/Command/_toolchain-source,100.00
Completion/Debian/Command/_update-alternatives,41.83
Completion/Debian/Command/_update-rc.d,100.00
Completion/Debian/Command/_uscan,54.84
Completion/Debian/Command/_vim-addons,59.52
Completion/Debian/Command/_wajig,77.26
Completion/Debian/Command/_wanna-build,100.00
Completion/Debian/Type/.distfiles,100.00
Completion/Debian/Type/_deb_architectures,100.00
Completion/Debian/Type/_deb_codenames,100.00
Completion/Debian/Type/_deb_files,100.00
Completion/Debian/Type/_deb_packages,50.00
Completion/Debian/Type/_debbugs_bugnumber,84.62
Completion/Debian/_apt,65.97
Completion/Debian/_apt-cache,100.00
Completion/Debian/_apt-get,100.00
Completion/Debian/_apt_arguments,100.00
Completion/Debian/_bug,49.55
Completion/Debian/_deb_packages,62.07
Completion/Debian/_dpkg,49.77
Completion/Debian/_dpkg-source,100.00
Completion/Debian/_dupload,100.00
Completion/Linux/.distfiles,62.50
Completion/Linux/Command/.distfiles,70.93
Completion/Linux/Command/_acpi,100.00
Completion/Linux/Command/_acpitool,100.00
Completion/Linux/Command/_alsa-utils,96.43
Completion/Linux/Command/_analyseplugin,96.15
Completion/Linux/Command/_basenc,100.00
Completion/Linux/Command/_brctl,91.30
Completion/Linux/Command/_btrfs,51.95
Completion/Linux/Command/_chattr,100.00
Completion/Linux/Command/_chcon,100.00
Completion/Linux/Command/_choom,100.00
Completion/Linux/Command/_chrt,53.04
Completion/Linux/Command/_cpupower,97.62
Completion/Linux/Command/_cryptsetup,69.44
Completion/Linux/Command/_dkms,100.00
Completion/Linux/Command/_docker,100.00
Completion/Linux/Command/_e2label,100.00
Completion/Linux/Command/_ethtool,64.29
Completion/Linux/Command/_findmnt,85.07
Completion/Linux/Command/_free,89.29
Completion/Linux/Command/_fusermount,91.11
Completion/Linux/Command/_gpasswd,77.78
Completion/Linux/Command/_htop,77.46
Completion/Linux/Command/_iconvconfig,100.00
Completion/Linux/Command/_ionice,48.39
Completion/Linux/Command/_ipset,83.28
Completion/Linux/Command/_iptables,98.12
Completion/Linux/Command/_iwconfig,66.67
Completion/Linux/Command/_kpartx,66.67
Completion/Linux/Command/_ldconfig,100.00
Completion/Linux/Command/_losetup,71.11
Completion/Linux/Command/_lsattr,100.00
Completion/Linux/Command/_lsblk,93.83
Completion/Linux/Command/_lsns,100.00
Completion/Linux/Command/_lsusb,65.38
Completion/Linux/Command/_ltrace,97.22
Completion/Linux/Command/_mat,100.00
Completion/Linux/Command/_mat2,100.00
Completion/Linux/Command/_mdadm,80.00
Completion/Linux/Command/_mdmadm,100.00
Completion/Linux/Command/_mii-tool,53.85
Completion/Linux/Command/_modutils,55.09
Completion/Linux/Command/_mondo,58.89
Completion/Linux/Command/_networkmanager,87.97
Completion/Linux/Command/_nmcli,100.00
Completion/Linux/Command/_nsenter,100.00
Completion/Linux/Command/_opkg,100.00
Completion/Linux/Command/_perf,100.00
Completion/Linux/Command/_pidof,60.81
Completion/Linux/Command/_pkgtool,57.62
Completion/Linux/Command/_pmap,100.00
Completion/Linux/Command/_qdbus,98.25
Completion/Linux/Command/_rpmbuild,57.61
Completion/Linux/Command/_selinux,100.00
Completion/Linux/Command/_setpriv,98.17
Completion/Linux/Command/_setsid,92.31
Completion/Linux/Command/_slabtop,95.65
