Project Name,Author,Code Churn,Bug Fix Commit Count,Avg PR Merge Time (hours),Avg Issue Resolution Time (hours),Lead Time for Changes (hours),Code Churn per PR,Issue Re-opening Rate,Total Commits,Total PRs,Total Issues,Total Code Reviews,Total CI/CD Runs,CI/CD Success Rate,Total Deployments,Total Contributors
ColossalAI,Shen Chenhui,-2,1509,40.91129166666666,83.26543981481481,124.17673148148148,-0.064516129032258,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Stephan Müller,0,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.0,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Stephan Schroevers,30,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.967741935483871,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Steve Reinhardt,2823,13581,40.91129166666666,83.26543981481481,124.17673148148148,10.118279569892472,48.67741935483871,9,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Super Daniel,9798,73941,40.91129166666666,83.26543981481481,124.17673148148147,6.450296247531271,48.67741935483872,49,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Sze-qq,57,24144,40.91129166666666,83.26543981481481,124.17673148148148,0.11491935483870969,48.67741935483871,16,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Thunderbeee,-1,1509,40.91129166666666,83.26543981481481,124.17673148148148,-0.032258064516129,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Tian Siyuan,0,3018,40.91129166666666,83.26543981481481,124.17673148148148,0.0,48.67741935483871,2,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Tomek,0,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.0,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Tongliang Liu,14890,341034,40.911291666666656,83.26543981481481,124.17673148148148,2.1253211532971736,48.67741935483871,226,30,30,30,30,0.6666666666666666,0,30
ColossalAI,WANG-CR,0,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.0,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Walisson Rodrigues,0,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.0,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Wang Binluo,4679,15090,40.91129166666666,83.26543981481481,124.17673148148148,15.093548387096774,48.67741935483871,10,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Wangbo Zhao(黑色枷锁),-80,6036,40.91129166666666,83.26543981481481,124.17673148148148,-0.6451612903225806,48.67741935483871,4,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Wenhao Chen,5017,33198,40.91129166666666,83.26543981481481,124.1767314814815,7.3563049853372435,48.67741935483871,22,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Wensheng Tang,-753,9054,40.91129166666666,83.26543981481481,124.17673148148147,-4.048387096774195,48.67741935483871,6,30,30,30,30,0.6666666666666666,0,30
ColossalAI,XYE,8,6036,40.91129166666666,83.26543981481481,124.17673148148148,0.06451612903225801,48.67741935483871,4,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Xu Kai,10792,21126,40.91129166666666,83.26543981481481,124.17673148148148,24.86635944700461,48.67741935483871,14,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Xue Fuzhao,-3,7545,40.91129166666666,83.26543981481481,124.17673148148148,-0.01935483870967742,48.67741935483871,5,30,30,30,30,0.6666666666666666,0,30
ColossalAI,YH,80,16599,40.91129166666666,83.26543981481481,124.1767314814815,0.2346041055718475,48.67741935483871,11,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Yanchek99,8580,36216,40.91129166666666,83.26543981481481,124.17673148148147,11.532258064516128,48.67741935483871,24,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Yanjia0,26,3018,40.91129166666666,83.26543981481481,124.17673148148148,0.4193548387096774,48.67741935483871,2,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Yanqing Dai,5,6036,40.91129166666666,83.26543981481481,124.17673148148148,0.040322580645161275,48.67741935483871,4,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Yasyf Mohamedali,0,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.0,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,YeAnbang,15360,90540,40.91129166666666,83.26543981481481,124.17673148148148,8.258064516129032,48.67741935483871,60,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Young-Lord,1,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.032258064516129,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Yuanheng Zhao,24783,96576,40.91129166666666,83.26543981481481,124.17673148148148,12.491431451612904,48.67741935483871,64,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Yuer867,32,4527,40.91129166666666,83.26543981481481,124.17673148148147,0.3440860215053763,48.67741935483871,3,30,30,30,30,0.6666666666666666,0,30
ColossalAI,YuliangLiu0306,20449,276147,40.91129166666666,83.26543981481481,124.17673148148148,3.6046183677066805,48.67741935483871,183,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Yunfan Zhang,688,1509,40.91129166666666,83.26543981481481,124.17673148148148,22.193548387096776,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Yung Siang Liau,1,3018,40.91129166666666,83.26543981481481,124.17673148148148,0.0161290322580645,48.67741935483871,2,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Ze-Yi LIN,778,1509,40.91129166666666,83.26543981481481,124.17673148148148,25.096774193548388,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
