Project Name,Author,Total Commits,Total PRs,Avg PR Merge Time (hours),Total Issues,Avg Issue Resolution Time (hours),Total Code Reviews,Total CI/CD Runs,CI/CD Success Rate,Total Deployments,Total Contributors,Bug Fix Commit Count,log_defect_density,log_lead_time,log_code_churn,logit_failed_rate
node,boldkoala4615,1,30,152.89243464052288,30,77.44944444444445,30,30,0.9,0,30,20,1.3862943611198906,5.439564636082659,-2.047692843365256,-2.1972245773362205
node,brandonfrulla,1,30,152.89243464052288,30,77.44944444444445,30,30,0.9,0,30,20,-0.09531017980432477,5.439564636082659,-0.3894647667617233,-2.1972245773362205
node,cody-wang-cb,25,150,152.89243464052288,150,77.44944444444445,150,150,0.9,0,30,100,-0.586238750483284,5.439564636082659,-11.60057645115646,-2.1972245773362205
node,etherhood,1,30,152.89243464052288,30,77.44944444444445,30,30,0.9,0,30,20,1.3862943611198906,5.439564636082659,-2.047692843365256,-2.1972245773362205
node,evslatts,1,30,152.89243464052288,30,77.44944444444445,30,30,0.9,0,30,20,2.995732273553991,5.439564636082659,-13.815510557964274,-2.1972245773362205
node,kazak,1,30,152.89243464052288,30,77.44944444444445,30,30,0.9,0,30,20,2.995732273553991,5.439564636082659,-13.815510557964274,-2.1972245773362205
node,stirante,1,30,152.89243464052288,30,77.44944444444445,30,30,0.9,0,30,20,inf,5.439564636082659,-13.815510557964274,-2.1972245773362205
node,stratusagency.eth,1,30,152.89243464052288,30,77.44944444444445,30,30,0.9,0,30,20,1.0498221244986776,5.439564636082659,-1.6422277352570913,-2.1972245773362205
node,taycaldwell,1,30,152.89243464052288,30,77.44944444444445,30,30,0.9,0,30,20,2.995732273553991,5.439564636082659,-13.815510557964274,-2.1972245773362205
node,wbnns,121,330,152.89243464052288,330,77.44944444444445,330,330,0.9,0,30,220,inf,5.439564636082659,-6.962653867028752,-2.1972245773362205
node,web3-nodeops,1,30,152.89243464052288,30,77.44944444444445,30,30,0.9,0,30,20,2.995732273553991,5.439564636082659,-13.815510557964274,-2.1972245773362205
node-modules-inspector,Anthony Fu,73984,8160,23.3954,8160,31.129236111111112,8160,8160,0.8666666666666667,0,14,12512,inf,3.998652638266452,-5.047673865548161,-1.8718021769015918
node-modules-inspector,Bjorn Lu,1,30,23.3954,30,31.129236111111112,30,30,0.8666666666666667,0,14,46,-13.815510557964274,3.998652638266452,-13.815510557964274,-1.8718021769015918
node-modules-inspector,IlyaL,9,90,23.3954,90,31.129236111111112,90,90,0.8666666666666667,0,14,138,-0.349901323356901,3.9986526382664516,0.713166436601794,-1.8718021769015918
node-modules-inspector,Joery,16,120,23.3954,120,31.129236111111112,120,120,0.8666666666666667,0,14,184,-0.27851898921739116,3.998652638266452,0.6502890224755153,-1.8718021769015918
node-modules-inspector,Kevin Deng 三咲智子,36,180,23.3954,180,31.129236111111112,180,180,0.8666666666666667,0,14,276,1.393546142986441,3.9986526382664516,-2.780719163714153,-1.8718021769015918
node-modules-inspector,Max,1,30,23.3954,30,31.129236111111112,30,30,0.8666666666666667,0,14,46,-13.815510557964274,3.998652638266452,-13.815510557964274,-1.8718021769015918
node-modules-inspector,Nanashi.,1,30,23.3954,30,31.129236111111112,30,30,0.8666666666666667,0,14,46,-0.703958096664161,3.998652638266452,1.087801372563894,-1.8718021769015918
node-modules-inspector,Robin,25,150,23.3954,150,31.129236111111112,150,150,0.8666666666666668,0,14,230,1.2128487841152404,3.998652638266452,-1.068907663239301,-1.871802176901592
node-modules-inspector,SerKo,4,60,23.3954,60,31.129236111111112,60,60,0.8666666666666667,0,14,92,1.2636920390275583,3.998652638266452,-6.06276689152308,-1.8718021769015918
node-modules-inspector,Vida Xie,4,60,23.3954,60,31.129236111111112,60,60,0.8666666666666667,0,14,92,2.8556863219614383,3.998652638266452,-7.728869146610682,-1.8718021769015918
node-modules-inspector,fxzer,1,30,23.3954,30,31.129236111111112,30,30,0.8666666666666667,0,14,46,3.828641396489095,3.998652638266452,-13.815510557964274,-1.8718021769015918
node-modules-inspector,jyc.dev,1,30,23.3954,30,31.129236111111112,30,30,0.8666666666666667,0,14,46,-1.4894785973551217,3.998652638266452,1.879218774556641,-1.8718021769015918
node-modules-inspector,ntnyq,4,60,23.3954,60,31.129236111111112,60,60,0.8666666666666667,0,14,92,1.536157657153809,3.998652638266452,-1.2556327911403504,-1.8718021769015918
node-modules-inspector,zhangenming,1,30,23.3954,30,31.129236111111112,30,30,0.8666666666666667,0,14,46,1.1895840668738364,3.998652638266452,-0.8690378470236096,-1.8718021769015918
notebook,0x01,1,30,15.372361111111111,30,72.17179166666668,30,30,0.9333333333333332,30,30,2820,7.944492163932159,4.472143269268802,-13.815510557964274,-2.6390573296152584
notebook,1kastner,1,30,15.372361111111111,30,72.17179166666668,30,30,0.9333333333333332,30,30,2820,6.558197802812269,4.472143269268802,-2.3353749158170367,-2.6390573296152584
notebook,A-level (hey),1,30,15.372361111111111,30,72.17179166666668,30,30,0.9333333333333332,30,30,2820,3.7103856593349,4.472143269268802,0.7855205006909604,-2.6390573296152584
