Project Name,Author,Total Commits,Total PRs,Total Issues,Total Code Reviews,Total CI/CD Runs,Total Deployments,Total Contributors,Bug Fix Commit Count,Defect Density (Bugs per LOC),Failed Build/Test Rate,Lead Time for Changes (hours),Deployment Frequency,Code Churn per PR,Issue Re-opening Rate,CI/CD Success Rate,Avg PR Merge Time (hours),Avg Issue Resolution Time (hours)
ColossalAI,Kirigaya Kazuto,196,420,420,420,420,0,30,21126,-23.579713321085734,0.3333333333333333,124.17673148148148,0.0,7.152073732718894,48.67741935483871,0.0026187803965581746,0.1607065329218107,0.3270808522467473
ColossalAI,Kirthi Shankar Sivamani,1,30,30,30,30,0,30,1509,6.159183673469387,0.3333333333333333,124.17673148148148,0.0,7.870967741935484,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,Kun Lin,9,90,90,90,90,0,30,4527,255.1098680278101,0.3333333333333333,124.17673148148147,0.0,19.612903225806452,48.67741935483871,0.0005611672278338944,0.03443711419753086,0.07008875405287442
ColossalAI,Lemon Qin,1,30,30,30,30,0,30,1509,1509.0,0.3333333333333333,124.17673148148148,0.0,0.0,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,Li Xingjian,1,30,30,30,30,0,30,1509,9.201219512195122,0.3333333333333333,124.17673148148148,0.0,5.258064516129032,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,Liang Yiming,1,30,30,30,30,0,30,1509,1509.0,0.3333333333333333,124.17673148148148,0.0,0.0,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,Liping233,1,30,30,30,30,0,30,1509,inf,0.3333333333333333,124.17673148148148,0.0,-0.032258064516129,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,Liu Ziming,9,90,90,90,90,0,30,4527,838.3333333333334,0.3333333333333333,124.17673148148147,0.0,0.06451612903225803,48.67741935483871,0.0005611672278338944,0.03443711419753086,0.07008875405287442
ColossalAI,LuGY,1296,1080,1080,1080,1080,0,30,54324,304.31666844499136,0.3333333333333333,124.17673148148148,0.0,2.7132616487455197,48.67741935483871,0.006734006734006735,0.41324537037037035,0.8410650486344932
ColossalAI,LuGY_mac,1,30,30,30,30,0,30,1509,7.2548076923076925,0.3333333333333333,124.17673148148148,0.0,6.67741935483871,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,Lufang Chen,1,30,30,30,30,0,30,1509,1509.0,0.3333333333333333,124.17673148148148,0.0,0.0,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,Luke D Russell,1,30,30,30,30,0,30,1509,1509.0,0.3333333333333333,124.17673148148148,0.0,0.0,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,Luo Yihang,1,30,30,30,30,0,30,1509,1509.0,0.3333333333333333,124.17673148148148,0.0,0.0,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,Luxios22,4,60,60,60,60,0,30,3018,-1509.0,0.3333333333333333,124.17673148148148,0.0,-0.064516129032258,48.67741935483871,0.00037411148522259637,0.022958076131687242,0.046725836035249615
ColossalAI,Maruyama_Aya,676,780,780,780,780,0,30,39234,inf,0.3333333333333333,124.17673148148148,0.0,8.68362282878412,48.67741935483871,0.004863449307893752,0.2984549897119341,0.6074358684582449
ColossalAI,Michael Scott Cuthbert,100,300,300,300,300,0,30,15090,403.5113826186571,0.3333333333333333,124.17673148148148,0.0,1.0096774193548388,48.67741935483871,0.0018705574261129814,0.11479038065843619,0.23362918017624806
ColossalAI,MickeyCHAN,1,30,30,30,30,0,30,1509,754.5,0.3333333333333333,124.17673148148148,0.0,0.032258064516129,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,Mingyuan Xiang,144,360,360,360,360,0,30,18108,inf,0.3333333333333333,124.17673148148147,0.0,1.3172043010752688,48.67741935483871,0.0022446689113355778,0.13774845679012343,0.28035501621149767
ColossalAI,MisterLin1995,4,60,60,60,60,0,30,3018,755.7659395973154,0.3333333333333333,124.17673148148148,0.0,9.596774193548388,48.67741935483871,0.00037411148522259637,0.022958076131687242,0.046725836035249615
ColossalAI,NatalieC323,36,180,180,180,180,0,30,9054,-60.85004025764895,0.3333333333333333,124.17673148148147,0.0,0.7150537634408601,48.67741935483871,0.0011223344556677889,0.06887422839506172,0.14017750810574883
