Field,Value
"Hongbo Zhang,David Allsopp",2
"Hugo Heuzard,KC Sivaramakrishnan",2
"Nicolás Ojeda Bär,Stefan Muenzel",2
"Nicolás Ojeda Bär,Stephen Dolan",2
"David Allsopp,Craig Ferguson",2
"David Allsopp,Fabian",2
"David Allsopp,Fourchaux",2
"David Allsopp,Greta Yorsh",2
"Nick Roberts,Stefan Muenzel",2
"Nick Roberts,Takafumi Saikawa",2
"Nicolas Ojeda Bar,Damien Doligez",2
"Nicolas Ojeda Bar,Mark Shinwell",2
"Hugo Heuzard,alainfrisch",2
"Florian Angeletti,Nick Roberts",2
"Florian Angeletti,Olivier Nicole",2
"Florian Angeletti,Sadiq Jaffer",2
"Florian Angeletti,Seb Hinderer",2
"Nicolas Pouillard,Xavier Leroy",2
"Nathanaëlle Courant,Nick Barnes",2
"Nick Barnes,Florian Angeletti",2
"Miod Vallat,Nicolás Ojeda Bär",2
"Miod Vallat,Xavier Leroy",2
"David Allsopp,Konstantin Romanov",2
"Maxence Guesdon,Jacques Garrigue",2
"Mekhrubon Turaev,Florian Angeletti",2
"Miod Vallat,David Allsopp",2
"Miod Vallat,Guillaume Munch-Maccagnoni",2
"Mark Shinwell,yallop",2
"Hyunggyu Jang,Leo White",2
"JPR,Damien Doligez",2
"JPR,David Allsopp",2
"Jacques Garrigue,Didier Rémy",2
"David Allsopp,Nicolas Ojeda Bar",2
"David Allsopp,Olivier Andrieu",2
"David Allsopp,Pierre Chambart",2
"David Allsopp,Richard Bonichon",2
"David Allsopp,Sadiq Jaffer",2
"David Allsopp,Seb Hinderer",2
"Mark Shinwell,Hugo Heuzard",2
"Mark Shinwell,Jérémie Dimino",2
"Lucas Pluvinage,Antonin Décimo",2
"David Allsopp,Thomas Refis",2
"David Allsopp,Vincent Laviron",2
